repo_full_name,repo_default_branch,file_path,nb_ok_parse,kernel_name,language,python_version_declared,exec_ok,error,exc_name,failed_cell_index,elapsed_s,original_found,outputs_equal,outputs_hash_orig,outputs_hash_exec,n_outputs_orig,n_outputs_exec
NewYorkCityCouncil/vision-zero-final,main,code/02_clean_node_dataset.ipynb,True,python3,python,3.9.17,False,ModuleNotFoundError,,,1.412,True,False,28eefc3b4d225334e5ea8ce4e339b32d9b11ce549463c388d11788c66733f843,,8,0
NewYorkCityCouncil/vision-zero-final,main,code/03_add_collisions.ipynb,True,python3,python,3.9.17,False,ModuleNotFoundError,,,1.257,True,False,a860037ac6fb750ba93b7ade49e664a2cdad809d1c7c89c29c7e368293b30e5b,,11,0
NewYorkCityCouncil/vision-zero-final,main,code/04_build_vz_table.ipynb,True,python3,python,3.9.17,False,ModuleNotFoundError,,,1.322,True,False,377a9cc44d2261e0e51a491f22f58a55b17f383bf3d3f307c2640859d4772ee1,,2,0
NewYorkCityCouncil/vision-zero-final,main,code/05_add_interventions.ipynb,True,python3,python,3.11.13,False,ModuleNotFoundError,,,1.53,True,False,59c4d045fdae9d524ac80abc9354892d02aa98ade23f9e9853365350fd81dd40,,53,0
NewYorkCityCouncil/vision-zero-final,main,code/06_add_controls.ipynb,True,python3,python,3.11.13,False,ModuleNotFoundError,,,1.274,True,False,810f3b0b517e3345ff5e3f711797c6c91937a1a74ed8f739a7a568cd8d6231ce,,4,0
NewYorkCityCouncil/vision-zero-final,main,code/07_prep_dataset_for_analysis.ipynb,True,python3,python,3.11.13,False,ModuleNotFoundError,,,1.267,True,False,e1c7a1b403a7ee60a5143d658f638000f48ae7c7be8f3a615d359eb2920f46c9,,18,0
NewYorkCityCouncil/vision-zero-final,main,code/08_eda.ipynb,True,python3,python,3.13.5,False,ModuleNotFoundError,,,1.282,True,False,c6e62ca5e35268cb3622c725bda18272da500234a608fdfb4f7ff82770dd5f48,,44,0
NewYorkCityCouncil/vision-zero-final,main,code/11_final_dataset_with_geometries.ipynb,True,python3,python,3.11.13,False,ModuleNotFoundError,,,1.487,True,False,de8276c6e9f96d6692e459aa051d26639b0c66c8f8c029d91f4ef8b9912c1b87,,8,0
NicolasCaronPro/Localized-Forest-Fire-Risk-Prediction-ADepartment-Aware-Approach-for-Operational-DecisionSupport,main,Database/Features/GEEExportData.ipynb,True,python3,python,3.10.12,False,ModuleNotFoundError,,,2.619,True,False,43d364525b4673e8f914ee5fec325e4e70f0c0f40b66b68ecb85cf678a9682c8,,6,0
NicolasCaronPro/Localized-Forest-Fire-Risk-Prediction-ADepartment-Aware-Approach-for-Operational-DecisionSupport,main,Database/Features/check_datacube.ipynb,True,python3,python,3.9.18,False,ModuleNotFoundError,,,1.246,True,False,7fa3fc79da4ad5b9d6292643163cbc46d1602d2aadaffa1f908b0c8825b6c2ef,,2,0
